商品编号,商品名称,品牌,价格（元）,原价（元）,折扣率,月销量,累计评价数,好评率,鞋面材质,鞋底材质,闭合方式,风格,适用季节,用户年龄,用户性别,用户所在省份,是否PLUS会员,下单时间（小时）,是否退货
429914929,李宁休闲复古潮鞋四季通用,李宁休闲,241,254,95,1000,638,97,飞织面料,TPR鞋底,拉链鞋款,复古潮鞋,四季通用,59,女,浙江省,是,0,否
364097598,耐克潮流潮流高街春季新款,耐克潮流,197,379,52,25,253,100,飞织面料,EVA轻底,套脚款式,潮流高街,春季新款,57,女,浙江省,是,4,否
440501663,耐克潮流潮流高街四季通用,耐克潮流,99,136,73,1341,706,99,网布透气,MD发泡底,系带设计,潮流高街,四季通用,50,女,湖北省,是,10,是
363423077,耐克潮流简约百搭夏季透气,耐克潮流,128,152,84,968,648,95,混合材质,EVA轻底,松紧带鞋,简约百搭,夏季透气,49,女,广东省,否,20,是
379117180,阿迪达斯复古潮鞋春季新款,阿迪达斯,107,127,84,3362,4960,94,网布透气,PU中底,套脚款式,复古潮鞋,春季新款,49,女,湖北省,是,23,是
943646579,耐克潮流运动休闲夏季透气,耐克潮流,132,157,84,3631,1645,87,超纤皮鞋,TPR鞋底,魔术贴鞋,运动休闲,夏季透气,40,男,山东省,否,23,否
914346413,回力经典户外机能春季新款,回力经典,221,395,56,1451,12282,94,高端飞织,混合鞋底,系带设计,户外机能,春季新款,58,女,福建省,是,20,否
125181341,李宁休闲运动休闲秋季百搭,李宁休闲,104,128,81,458,2764,93,合成革鞋,MD发泡底,套脚款式,运动休闲,秋季百搭,52,女,江苏省,否,18,否
207970065,阿迪达斯简约百搭冬季保暖,阿迪达斯,106,119,89,48,787,94,飞织面料,TPR鞋底,系带设计,简约百搭,冬季保暖,53,女,山东省,是,23,否
584112097,其他品牌工装硬朗冬季保暖,其他品牌,99,174,57,972,642,92,超纤皮鞋,橡胶大底,魔术贴鞋,工装硬朗,冬季保暖,54,女,山东省,是,10,否
430702516,其他品牌复古潮鞋春季新款,其他品牌,243,256,95,1195,2871,93,混合材质,混合鞋底,套脚款式,复古潮鞋,春季新款,42,男,安徽省,否,2,否
575884042,李宁休闲日常休闲春季新款,李宁休闲,99,198,50,575,1821,97,真皮柔软,EVA轻底,松紧带鞋,日常休闲,春季新款,49,男,浙江省,是,19,否
127876543,李宁休闲复古潮鞋秋季百搭,李宁休闲,175,201,87,841,1737,99,超纤皮鞋,TPR鞋底,拉链鞋款,复古潮鞋,秋季百搭,61,男,江苏省,是,23,是
673270378,耐克潮流复古潮鞋夏季透气,耐克潮流,99,105,94,780,4372,97,合成革鞋,TPR鞋底,拉链鞋款,复古潮鞋,夏季透气,22,男,安徽省,否,20,否
350212584,阿迪达斯简约百搭夏季透气,阿迪达斯,155,263,59,1061,3073,100,合成革鞋,橡胶大底,拉链鞋款,简约百搭,夏季透气,49,男,广东省,否,0,否
869565660,其他品牌简约百搭四季通用,其他品牌,99,130,76,1208,743,99,混合材质,橡胶大底,魔术贴鞋,简约百搭,四季通用,46,女,河北省,是,7,否
404526301,李宁休闲工装硬朗秋季百搭,李宁休闲,173,279,62,586,1530,93,合成革鞋,橡胶大底,魔术贴鞋,工装硬朗,秋季百搭,57,女,安徽省,是,22,否
614471419,特步男鞋日常休闲冬季保暖,特步男鞋,118,184,64,620,476,90,高端飞织,混合鞋底,系带设计,日常休闲,冬季保暖,40,女,河南省,否,3,否
243567590,阿迪达斯日常休闲四季通用,阿迪达斯,229,318,72,28,793,91,真皮柔软,MD发泡底,系带设计,日常休闲,四季通用,56,男,浙江省,是,22,否
403453025,其他品牌户外机能冬季保暖,其他品牌,99,99,100,692,606,93,合成革鞋,PU中底,套脚款式,户外机能,冬季保暖,45,女,河南省,是,22,是
638757627,耐克潮流复古潮鞋夏季透气,耐克潮流,196,338,58,1405,396,92,高端飞织,TPR鞋底,魔术贴鞋,复古潮鞋,夏季透气,54,男,河北省,否,0,是
